Year,Team,Abbreviation,Kickoffs,Yds,Touchbacks,TB(pct),Ret,Ret_Avg,OSK,OSK_Rec,OOB,Touchdowns_Allowed
2005,49ers,SF,62,3672,8,12.9,48,20,5,3,1,0
2005,Bears,CHI,65,4016,2,3.1,63,19.9,0,0,0,0
2005,Bengals,CIN,91,5476,2,2.2,85,21,2,0,2,1
2005,Bills,BUF,70,4263,2,2.9,64,20.4,3,1,1,1
2005,Broncos,DEN,83,5372,14,16.9,67,25.3,0,0,2,0
2005,Browns,CLE,61,3653,3,4.9,56,21.1,3,0,0,0
2005,Buccaneers,TB,69,4328,5,7.2,63,21.7,0,0,1,1
2005,Cardinals,ARI,86,5642,23,26.7,60,28.3,2,0,1,3
2005,Chargers,LAC,88,5365,4,4.6,83,22.4,1,0,0,0
2005,Chiefs,KC,88,5363,2,2.3,83,24.7,4,0,1,1
2005,Colts,IND,90,5539,1,1.1,89,22.2,0,0,0,1
2005,Cowboys,DAL,74,4694,6,8.1,66,21.7,1,0,1,0
2005,Dolphins,MIA,74,4944,16,21.6,56,25.4,1,0,1,0
2005,Eagles,PHI,73,4441,5,6.8,67,21.1,1,0,1,1
2005,Falcons,ATL,77,4888,14,18.2,59,19.3,2,0,2,0
2005,Giants,NYG,98,6211,12,12.2,85,22,0,0,1,1
2005,Jaguars,JAX,79,5189,20,25.3,56,23.7,1,1,2,0
2005,Jets,NYJ,63,3741,1,1.6,60,20.8,1,0,2,0
2005,Lions,DET,62,3779,5,8.1,55,22.5,1,0,1,1
2005,Packers,GB,69,4202,3,4.4,65,21.6,1,0,0,0
2005,Panthers,CAR,86,5430,3,3.5,80,21.3,1,0,3,0
2005,Patriots,NE,81,4992,10,12.4,68,21.9,1,0,1,0
2005,Raiders,LV,70,4351,11,15.7,56,24.4,2,0,2,0
2005,Rams,LAR,80,5067,6,7.5,70,25.4,4,2,0,0
2005,Ravens,BAL,69,4136,3,4.4,62,21.8,3,0,1,0
2005,Commanders,WAS,78,4629,1,1.3,72,20.9,1,0,3,0
2005,Saints,NO,66,4249,5,7.6,61,23,0,0,0,0
2005,Seahawks,SEA,89,5600,4,4.5,82,22,1,0,2,1
2005,Steelers,PIT,84,5105,5,6,77,21.9,2,0,0,0
2005,Texans,HOU,69,4447,11,15.9,55,21.7,1,0,0,0
2005,Titans,TEN,72,4584,11,15.3,57,22.6,3,0,2,0
2005,Vikings,MIN,73,4324,0,0,67,21.1,5,0,1,0
2006,49ers,SF,74,4495,5,6.8,65,21.1,4,3,1,0
2006,Bears,CHI,95,6187,11,11.6,83,20.8,0,0,1,0
2006,Bengals,CIN,84,5367,13,15.5,70,21,0,0,1,0
2006,Bills,BUF,70,4203,5,7.1,60,21.3,2,1,0,0
2006,Broncos,DEN,75,5090,19,25.3,55,26.9,0,0,1,0
2006,Browns,CLE,61,3887,11,18,48,21.9,2,0,0,1
2006,Buccaneers,TB,53,3296,4,7.6,46,18.4,0,0,2,0
2006,Cardinals,ARI,77,5165,17,22.1,58,25.5,1,1,1,0
2006,Chargers,LAC,103,6703,11,10.7,90,21.8,0,0,2,0
2006,Chiefs,KC,78,4850,5,6.4,71,23.2,2,0,1,0
2006,Colts,IND,88,5735,10,11.4,78,26,0,0,0,2
2006,Cowboys,DAL,89,5399,8,9,80,19.6,2,0,0,1
2006,Dolphins,MIA,67,4393,24,35.8,40,24.5,3,1,1,0
2006,Eagles,PHI,83,5437,11,13.2,71,23.2,1,0,0,0
2006,Falcons,ATL,70,4533,13,18.6,53,20.6,3,2,1,0
2006,Giants,NYG,78,5039,12,15.4,65,22.4,1,0,0,0
2006,Jaguars,JAX,84,5478,21,25,60,21,1,0,2,0
2006,Jets,NYJ,74,4478,2,2.7,69,21.2,2,1,1,0
2006,Lions,DET,76,5085,13,17.1,63,22.9,0,0,0,0
2006,Packers,GB,72,4689,11,15.3,60,22.5,1,1,0,0
2006,Panthers,CAR,67,4245,6,9,59,22.1,1,0,2,0
2006,Patriots,NE,82,5353,12,14.6,68,22.8,1,0,1,0
2006,Raiders,LV,51,3305,7,13.7,42,28.6,1,0,1,0
2006,Rams,LAR,84,5282,11,13.1,69,24.6,4,1,1,2
2006,Ravens,BAL,82,5174,6,7.3,75,21.8,1,0,0,0
2006,Commanders,WAS,72,4358,1,1.4,67,20.8,3,0,1,0
2006,Saints,NO,85,5242,8,9.4,72,22.2,3,1,2,0
2006,Seahawks,SEA,75,4871,12,16,61,24.6,1,0,1,0
2006,Steelers,PIT,76,4695,4,5.3,70,22.4,0,0,0,1
2006,Texans,HOU,64,4153,10,15.6,52,23.4,2,0,1,1
2006,Titans,TEN,71,4391,10,14.1,58,21.8,1,0,3,0
2006,Vikings,MIN,67,3961,3,4.5,59,23.2,4,1,2,1
2007,Bears,CHI,79,4698,3,3.8,71,19.3,3,0,4,1
2007,Bengals,CIN,88,5377,8,9.1,76,22.8,1,0,2,0
2007,Bills,BUF,66,4052,6,9.1,56,20.5,0,0,2,1
2007,Broncos,DEN,76,4956,13,17.1,62,23,0,0,1,1
2007,Browns,CLE,85,5221,5,5.9,76,20.9,0,0,2,0
2007,Buccaneers,TB,79,4714,6,7.6,68,19.5,4,2,1,1
2007,Cardinals,ARI,81,5216,17,21,60,23.2,3,3,0,0
2007,Chargers,LAC,84,5275,7,8.3,75,20.9,1,0,1,0
2007,Chiefs,KC,59,3897,5,8.5,51,21.7,0,0,3,0
2007,Colts,IND,91,5915,9,9.9,81,25,0,0,1,3
2007,Cowboys,DAL,94,5887,4,4.3,86,23,1,1,2,1
2007,Dolphins,MIA,67,3878,8,11.9,50,25.8,6,0,3,2
2007,Eagles,PHI,78,4824,6,7.7,69,22.3,2,1,1,0
2007,Falcons,ATL,68,4430,15,22.1,50,23,2,1,2,1
2007,Giants,NYG,83,5120,8,9.6,69,23.1,2,0,4,1
2007,Jaguars,JAX,88,5620,17,19.3,67,19.8,1,1,3,2
2007,Jets,NYJ,65,3970,9,13.8,51,24.9,5,1,2,1
2007,Lions,DET,83,5394,13,15.7,65,26.9,2,0,3,2
2007,49ers,SF,57,3457,4,7,45,21.8,7,2,2,1
2007,Packers,GB,93,5857,14,15,77,20.9,2,0,1,0
2007,Panthers,CAR,66,4042,4,6.1,56,23.8,3,0,6,0
2007,Patriots,NE,112,7220,15,13.4,92,22.1,0,0,3,1
2007,Raiders,LV,68,4418,22,32.4,43,22.4,2,1,1,1
2007,Rams,LAR,66,4183,5,7.6,58,27.2,1,0,1,2
