Year,Team,Abbreviation,Avg,Ret,Yds,KRet_TD,20_yd_returns,40_yd_returns,Long,Fair Catch
2005,49ers,SF,19,81,1540,0,38,1,40,0
2005,Bears,CHI,19.8,55,1092,0,26,1,40,0
2005,Bengals,CIN,23.6,67,1580,0,39,3,94,0
2005,Bills,BUF,26.6,75,1992,1,52,11,99,0
2005,Broncos,DEN,20.7,47,975,0,31,0,36,1
2005,Browns,CLE,22.2,68,1506,1,34,5,90,0
2005,Buccaneers,TB,19.5,59,1148,0,35,0,37,0
2005,Cardinals,ARI,22.6,76,1719,0,48,4,90,0
2005,Chargers,LAC,24.2,69,1667,0,46,7,60,0
2005,Chiefs,KC,23.4,68,1591,1,40,6,96,0
2005,Colts,IND,19.9,51,1017,0,25,0,39,0
2005,Cowboys,DAL,23.8,64,1523,0,46,4,49,0
2005,Dolphins,MIA,22.1,68,1501,0,45,4,46,0
2005,Eagles,PHI,22.2,71,1578,0,46,2,53,0
2005,Falcons,ATL,21.2,70,1482,0,43,1,47,0
2005,Giants,NYG,24.3,63,1529,1,45,4,95,0
2005,Jaguars,JAX,23.9,50,1197,1,31,3,91,0
2005,Jets,NYJ,24.3,71,1728,1,52,5,95,1
2005,Lions,DET,21.6,73,1576,0,33,5,73,0
2005,Packers,GB,18.9,75,1418,0,34,1,57,0
2005,Panthers,CAR,20.4,53,1083,0,25,2,60,0
2005,Patriots,NE,22.2,70,1555,0,42,2,65,0
2005,Raiders,LV,22.9,80,1832,0,55,2,62,0
2005,Rams,LAR,21.4,74,1580,1,34,2,99,0
2005,Ravens,BAL,21.5,60,1289,0,33,3,87,2
2005,Commanders,WAS,23.2,62,1438,2,37,3,94,0
2005,Saints,NO,20.2,75,1516,0,44,2,46,0
2005,Seahawks,SEA,22.1,61,1347,0,38,2,53,1
2005,Steelers,PIT,21.6,56,1208,0,22,4,74,0
2005,Texans,HOU,25.9,84,2173,2,55,8,99,0
2005,Titans,TEN,24.2,70,1697,0,48,6,85,0
2005,Vikings,MIN,21.8,71,1549,1,36,7,86,0
2006,49ers,SF,24.1,79,1907,0,57,4,64,0
2006,Bears,CHI,23.3,59,1373,2,35,3,96,0
